"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)"

"Indicator";"Geolocation";"Sex";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025"
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region I";"Girls";..;..;..;..;..;..;..;..;..;..;79.6;81.1;82.4;78.3;85.6;77.4;62.7;82.3;72.5;57.1;81.7;81.4;80.9;80.3;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region I";"Boys";..;..;..;..;..;..;..;..;..;..;75.2;79.4;82.2;78.9;85.5;76.4;64.1;82.7;73.2;57.1;78.1;79.1;78.6;78.0;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region II";"Both Sexes";..;..;..;..;..;..;..;..;..;..;39.4;76.9;87.1;86.3;90.6;87.2;68.6;90.2;77.2;62.5;84.9;85.7;82.9;82.5;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region II";"Girls";..;..;..;..;..;..;..;..;..;..;40.5;77.4;87.0;85.5;90.9;87.4;67.6;90.7;76.8;62.2;86.7;87.1;83.2;83.8;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region II";"Boys";..;..;..;..;..;..;..;..;..;..;38.4;76.4;87.2;86.9;90.2;87.0;69.7;89.7;77.6;62.7;83.3;84.4;82.6;81.4;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region III";"Both Sexes";..;..;..;..;..;..;..;..;..;..;67.4;70.5;75.0;77.7;86.3;81.6;67.6;88.9;82.4;67.1;69.3;76.0;77.9;80.2;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region III";"Girls";..;..;..;..;..;..;..;..;..;..;69.1;71.9;75.6;77.9;86.7;82.1;66.8;89.6;82.0;67.4;71.8;78.5;80.8;83.3;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region III";"Boys";..;..;..;..;..;..;..;..;..;..;65.9;69.3;74.4;77.5;86.0;81.1;68.5;88.2;82.7;66.8;67.0;73.6;75.3;77.3;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region IV-A";"Both Sexes";..;..;..;..;..;..;..;..;..;..;52.6;63.8;70.6;71.8;80.0;71.8;65.7;85.5;80.5;65.4;68.0;76.9;78.6;81.8;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region IV-A";"Girls";..;..;..;..;..;..;..;..;..;..;54.1;65.2;71.7;72.5;80.8;73.1;65.2;86.5;80.7;66.5;70.4;79.5;81.4;84.6;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region IV-A";"Boys";..;..;..;..;..;..;..;..;..;..;51.3;62.5;69.6;71.0;79.2;70.5;66.2;84.5;80.3;64.3;65.9;74.5;76.1;79.3;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..MIMAROPA Region";"Both Sexes";..;..;..;..;..;..;..;..;..;..;60.2;83.2;85.0;81.8;82.9;80.1;64.5;79.1;71.4;58.6;80.2;84.3;83.2;83.0;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..MIMAROPA Region";"Girls";..;..;..;..;..;..;..;..;..;..;61.9;82.9;85.0;81.7;83.5;80.8;63.9;79.8;70.7;59.3;81.9;85.8;84.4;84.6;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..MIMAROPA Region";"Boys";..;..;..;..;..;..;..;..;..;..;58.5;83.5;85.0;82.0;82.2;79.5;65.1;78.5;72.0;58.0;78.7;82.9;82.1;81.6;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region V";"Both Sexes";..;..;..;..;..;..;..;..;..;..;66.5;81.3;83.2;78.1;82.9;81.0;68.8;84.0;76.9;63.6;71.3;82.2;81.3;81.4;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region V";"Girls";..;..;..;..;..;..;..;..;..;..;67.6;81.7;83.5;77.7;82.7;81.1;67.6;84.6;76.2;64.3;73.4;84.3;83.4;83.0;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region V";"Boys";..;..;..;..;..;..;..;..;..;..;65.5;81.0;82.9;78.4;83.0;81.0;70.0;83.4;77.5;62.9;69.4;80.2;79.4;80.0;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region VI";"Both Sexes";..;..;..;..;..;..;..;..;..;..;56.4;78.2;85.7;85.6;88.5;84.1;67.4;91.0;80.4;66.8;79.4;83.0;82.3;83.2;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region VI";"Girls";..;..;..;..;..;..;..;..;..;..;57.6;78.9;86.1;85.2;88.4;84.2;66.5;90.9;79.8;66.9;81.2;84.1;83.2;84.5;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region VI";"Boys";..;..;..;..;..;..;..;..;..;..;55.3;77.6;85.4;86.0;88.7;84.0;68.3;91.0;81.0;66.8;77.8;81.9;81.5;82.1;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region VII";"Both Sexes";..;..;..;..;..;..;..;..;..;..;74.4;89.1;86.3;86.0;89.8;82.9;68.5;91.4;82.1;69.5;73.6;80.9;81.3;81.7;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region VII";"Girls";..;..;..;..;..;..;..;..;..;..;75.8;89.6;86.4;86.0;90.0;83.3;68.0;91.6;82.1;70.2;75.7;82.4;83.0;83.4;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region VII";"Boys";..;..;..;..;..;..;..;..;..;..;73.2;88.5;86.2;85.9;89.5;82.6;69.0;91.2;82.2;68.9;71.7;79.6;79.8;80.1;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region VIII";"Both Sexes";..;..;..;..;..;..;..;..;..;..;61.5;80.2;83.3;79.4;80.9;79.5;70.0;85.1;74.5;61.8;80.3;82.9;80.1;78.7;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region VIII";"Girls";..;..;..;..;..;..;..;..;..;..;63.1;80.8;83.4;79.6;81.8;80.4;69.4;86.0;75.0;62.3;82.3;84.7;81.8;80.8;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region VIII";"Boys";..;..;..;..;..;..;..;..;..;..;60.1;79.7;83.2;79.2;80.1;78.5;70.5;84.3;74.0;61.2;78.6;81.2;78.5;76.8;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region IX";"Both Sexes";..;..;..;..;..;..;..;..;..;..;67.1;82.2;84.5;80.5;79.1;73.6;65.8;80.2;75.5;65.2;67.9;74.0;75.5;75.2;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region IX";"Girls";..;..;..;..;..;..;..;..;..;..;68.0;82.6;84.4;79.5;78.9;73.8;65.4;81.4;75.8;66.6;69.8;75.9;77.4;76.8;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region IX";"Boys";..;..;..;..;..;..;..;..;..;..;66.1;81.7;84.5;81.5;79.2;73.4;66.1;79.0;75.3;63.9;66.1;72.3;73.7;73.7;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region X";"Both Sexes";..;..;..;..;..;..;..;..;..;..;53.0;85.9;85.4;79.8;82.2;79.3;73.2;89.5;85.7;73.4;69.2;73.9;74.8;75.2;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region X";"Girls";..;..;..;..;..;..;..;..;..;..;54.3;85.9;85.9;79.6;82.4;79.7;72.7;90.1;85.3;74.0;70.9;75.8;77.1;77.3;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region X";"Boys";..;..;..;..;..;..;..;..;..;..;51.8;85.9;85.0;80.0;82.1;78.9;73.7;88.9;86.0;72.7;67.5;72.2;72.6;73.2;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region XI";"Both Sexes";..;..;..;..;..;..;..;..;..;..;40.7;68.3;78.6;80.2;89.7;85.4;65.9;82.5;78.1;60.5;66.7;76.1;77.0;78.4;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region XI";"Girls";..;..;..;..;..;..;..;..;..;..;41.1;68.9;78.9;80.1;90.0;86.3;65.8;83.6;78.9;61.8;68.9;78.1;78.8;80.8;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region XI";"Boys";..;..;..;..;..;..;..;..;..;..;40.3;67.6;78.2;80.3;89.4;84.4;65.9;81.5;77.5;59.2;64.7;74.2;75.3;76.3;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region XII";"Both Sexes";..;..;..;..;..;..;..;..;..;..;55.9;79.7;80.4;80.7;82.1;77.4;66.0;83.2;76.0;64.4;67.1;72.7;74.2;75.2;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region XII";"Girls";..;..;..;..;..;..;..;..;..;..;57.8;80.6;81.0;81.1;82.8;78.6;65.9;84.1;76.5;65.7;69.2;74.0;75.7;76.7;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region XII";"Boys";..;..;..;..;..;..;..;..;..;..;54.0;78.8;79.9;80.2;81.4;76.3;66.1;82.5;75.5;63.2;65.2;71.4;72.9;73.7;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region XIII";"Both Sexes";..;..;..;..;..;..;..;..;..;..;78.9;87.9;82.0;82.5;85.9;86.1;68.8;86.1;76.6;64.3;77.6;80.3;81.6;81.3;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region XIII";"Girls";..;..;..;..;..;..;..;..;..;..;79.8;88.4;81.5;81.8;86.6;85.6;67.8;86.1;76.0;64.3;79.1;81.8;82.8;82.4;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Region XIII";"Boys";..;..;..;..;..;..;..;..;..;..;78.1;87.5;82.4;83.1;85.2;86.6;69.7;86.2;77.3;64.3;76.1;78.9;80.5;80.2;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)";"Both Sexes";..;..;..;..;..;..;..;..;..;..;40.3;71.3;80.8;73.7;57.8;52.9;53.8;60.6;54.6;53.7;47.1;47.4;54.7;54.7;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)";"Girls";..;..;..;..;..;..;..;..;..;..;43.0;75.8;86.1;78.6;61.6;56.1;56.8;64.1;57.7;58.2;49.4;50.0;57.1;57.3;...;...
"4.2.2 Participation rate in organized learning (one year before the official primary entry age) (same as SDG indicator 1.4.s3)";"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)";"Boys";..;..;..;..;..;..;..;..;..;..;37.6;66.9;75.6;68.9;54.2;49.8;50.9;57.2;51.7;49.4;44.9;45.0;52.3;52.2;...;...
