"4.5.1 Gender parity index in net enrolment rate"

"Geolocation";"Level of education";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025"
"..Region II";"Ratio of girls to boys in secondary education (JHS)";1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;...;...
"..Region II";"Ratio of girls to boys in secondary education (SHS)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1.1;1.1;1.1;1.1;1.1;1.1;1.0;1.0;...;...
"..Region II";"Ratio of girls to boys in tertiary education";..;..;..;..;..;..;1.3;1.2;1.2;1.2;1.2;1.2;1.3;1.3;1.3;1.2;1.2;1.2;1.3;1.3;1.3;1.2;1.3;1.2;...;...
"..Region III";"Ratio of girls to boys in primary education";0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;...;...
"..Region III";"Ratio of girls to boys in secondary education (JHS)";1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;...;...
"..Region III";"Ratio of girls to boys in secondary education (SHS)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1.1;1.1;1.0;1.0;1.1;1.1;1.0;1.0;...;...
"..Region III";"Ratio of girls to boys in tertiary education";..;..;..;..;..;..;1.2;1.2;1.1;1.2;1.1;1.1;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.1;1.2;1.3;1.2;1.2;...;...
"..Region IV-A";"Ratio of girls to boys in primary education";1.0;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;...;...
"..Region IV-A";"Ratio of girls to boys in secondary education (JHS)";1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;...;...
"..Region IV-A";"Ratio of girls to boys in secondary education (SHS)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1.1;1.1;1.1;1.1;1.1;1.1;1.0;1.0;...;...
"..Region IV-A";"Ratio of girls to boys in tertiary education";..;..;..;..;..;..;1.2;1.2;1.1;1.3;1.2;1.1;1.3;1.3;1.3;1.2;1.2;1.4;1.2;1.2;1.3;1.4;1.3;1.2;...;...
"..MIMAROPA Region";"Ratio of girls to boys in primary education";..;..;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;...;...
"..MIMAROPA Region";"Ratio of girls to boys in secondary education (JHS)";..;..;1.1;1.1;1.1;1.1;1.1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;...;...
"..MIMAROPA Region";"Ratio of girls to boys in secondary education (SHS)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1.1;1.1;1.1;1.1;1.1;1.1;1.0;1.0;...;...
"..MIMAROPA Region";"Ratio of girls to boys in tertiary education";..;..;..;..;..;..;1.3;1.3;1.3;1.4;1.3;1.3;1.3;1.4;1.4;1.4;1.4;1.3;1.4;1.3;1.4;1.4;1.4;1.3;...;...
"..Region V";"Ratio of girls to boys in primary education";0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;...;...
"..Region V";"Ratio of girls to boys in secondary education (JHS)";1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0.9;1.0;...;...
"..Region V";"Ratio of girls to boys in secondary education (SHS)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1.1;1.2;1.1;1.1;1.2;1.1;1.0;1.0;...;...
"..Region V";"Ratio of girls to boys in tertiary education";..;..;..;..;..;..;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.4;1.2;1.4;1.3;...;...
"..Region VI";"Ratio of girls to boys in primary education";0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;...;...
"..Region VI";"Ratio of girls to boys in secondary education (JHS)";1.0;1.0;1.0;1.1;1.1;1.1;1.1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0.9;0.9;1.0;...;...
"..Region VI";"Ratio of girls to boys in secondary education (SHS)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1.1;1.1;1.1;1.1;1.1;1.1;1.0;0.9;...;...
"..Region VI";"Ratio of girls to boys in tertiary education";..;..;..;..;..;..;1.3;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.3;1.3;1.2;1.3;1.2;1.2;1.3;1.4;1.3;...;...
"..Region VII";"Ratio of girls to boys in primary education";0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;...;...
"..Region VII";"Ratio of girls to boys in secondary education (JHS)";1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9;1.0;...;...
"..Region VII";"Ratio of girls to boys in secondary education (SHS)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1.1;1.2;1.1;1.1;1.1;1.1;1.0;1.0;...;...
"..Region VII";"Ratio of girls to boys in tertiary education";..;..;..;..;..;..;1.1;1.2;1.2;1.2;1.1;1.1;1.1;1.1;1.2;1.2;1.3;1.4;1.3;1.2;1.3;1.3;1.3;1.3;...;...
"..Region VIII";"Ratio of girls to boys in primary education";1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;...;...
"..Region VIII";"Ratio of girls to boys in secondary education (JHS)";1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0.9;1.0;...;...
"..Region VIII";"Ratio of girls to boys in secondary education (SHS)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1.1;1.1;1.1;1.1;1.1;1.1;1.0;1.0;...;...
"..Region VIII";"Ratio of girls to boys in tertiary education";..;..;..;..;..;..;1.2;1.2;1.2;1.2;1.2;1.3;1.3;1.3;1.3;1.3;1.4;1.4;1.3;1.3;1.3;1.4;1.2;1.3;...;...
"..Region IX";"Ratio of girls to boys in primary education";1.0;1.0;0.9;0.9;1.0;1.0;1.0;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;...;...
"..Region IX";"Ratio of girls to boys in secondary education (JHS)";1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;...;...
"..Region IX";"Ratio of girls to boys in secondary education (SHS)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1.2;1.2;1.2;1.2;1.2;1.2;1.1;1.0;...;...
"..Region IX";"Ratio of girls to boys in tertiary education";..;..;..;..;..;..;1.2;1.3;1.3;1.2;1.2;1.3;1.2;1.3;1.3;1.3;1.3;1.4;1.4;1.3;1.4;1.4;1.4;1.2;...;...
"..Region X";"Ratio of girls to boys in primary education";1.0;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;...;...
"..Region X";"Ratio of girls to boys in secondary education (JHS)";1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.0;1.0;1.0;1.1;1.1;1.0;1.1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;...;...
"..Region X";"Ratio of girls to boys in secondary education (SHS)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1.1;1.2;1.2;1.1;1.2;1.2;1.1;1.0;...;...
"..Region X";"Ratio of girls to boys in tertiary education";..;..;..;..;..;..;1.2;1.2;1.2;1.2;1.3;1.3;1.3;1.4;1.3;1.4;1.4;1.2;1.4;1.4;1.4;1.4;1.4;1.3;...;...
"..Region XI";"Ratio of girls to boys in primary education";1.0;1.0;0.9;0.9;1.0;1.0;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;...;...
"..Region XI";"Ratio of girls to boys in secondary education (JHS)";1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.0;1.1;1.1;1.1;1.1;1.0;1.1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;...;...
"..Region XI";"Ratio of girls to boys in secondary education (SHS)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1.2;1.2;1.2;1.1;1.2;1.2;1.1;1.0;...;...
"..Region XI";"Ratio of girls to boys in tertiary education";..;..;..;..;..;..;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.2;1.3;1.3;1.3;1.4;1.3;1.3;1.4;1.4;1.3;1.3;...;...
"..Region XII";"Ratio of girls to boys in primary education";0.9;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;...;...
"..Region XII";"Ratio of girls to boys in secondary education (JHS)";1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.0;1.0;1.1;1.1;1.0;1.1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;...;...
"..Region XII";"Ratio of girls to boys in secondary education (SHS)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.0;...;...
"..Region XII";"Ratio of girls to boys in tertiary education";..;..;..;..;..;..;1.3;1.2;1.1;1.3;1.2;1.2;1.3;1.3;1.3;1.4;1.4;1.4;1.3;1.3;1.4;1.5;1.5;1.3;...;...
"..Region XIII";"Ratio of girls to boys in primary education";1.0;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;...;...
"..Region XIII";"Ratio of girls to boys in secondary education (JHS)";1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;...;...
"..Region XIII";"Ratio of girls to boys in secondary education (SHS)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1.1;1.1;1.1;1.0;1.1;1.1;1.0;1.0;...;...
"..Region XIII";"Ratio of girls to boys in tertiary education";..;..;..;..;..;..;1.2;1.1;1.2;1.2;1.1;1.2;1.2;1.3;1.3;1.3;1.3;1.3;1.3;1.2;1.2;1.2;1.2;1.2;...;...
"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)";"Ratio of girls to boys in primary education";1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;...;...
"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)";"Ratio of girls to boys in secondary education (JHS)";1.2;1.2;1.3;1.2;1.2;1.2;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.4;1.4;1.3;1.3;1.3;1.2;1.2;1.2;1.2;1.2;1.2;...;...
"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)";"Ratio of girls to boys in secondary education (SHS)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1.4;1.4;1.4;1.4;1.3;1.3;1.3;1.3;...;...
"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)";"Ratio of girls to boys in tertiary education";..;..;..;..;..;..;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.6;1.4;1.4;1.4;1.5;1.6;1.5;1.6;1.6;1.2;..;...;...
